Product , Price 
Trixie Premium Collar M-L 201611, ₨ 650 
Trixie Premium Collar M-L 201601, ₨ 670 
Trixie Cavo Adjustable Leash S-M 143503, ₨ 1,400 
Trixie Cavo Adjustable Leash S-M 143501, ₨ 1,400 
Trixie Cavo Leash S-M 143412, ₨ 1,000 
Trixie Soft Line Collar L-XL 116112, ₨ 1,000 
Trixie Soft Line Collar L-XL 116101, ₨ 1,000 
Trixie Chain Leash M-L 21962, ₨ 1,200 
Trixie Chain Leash XS-S 21961, ₨ 850 
Trixie Leather Stud Collar M-L 19653, ₨ 1,500 
Trixie Leather Stud Collar M-L 19651, ₨ 1,500 
Trixie Leather Studs Collar M 19643, ₨ 1,400 
Trixie Leather Studded Collar M 19641, ₨ 1,300 
Trixie Leather Studded Collar S-M 19631, ₨ 1,200 
Trixie Leather Stud Collar S 19623, ₨ 1,000 
Trixie Puppy Collars M-L 15556, ₨ 250 
